seed1,seed2,exact_match_ratio,frequency_similarity,edit_similarity,overall_similarity
0,1,0.045454545454545456,0.24666711808402786,0.09999999999999998,0.13070722117952444
0,2,0.2204724409448819,0.6292359184033696,0.35,0.3999027864494171
0,3,0.11023622047244094,0.36340139421604456,0.15000000000000002,0.20787920489616185
0,4,0.11023622047244094,0.39271641121881873,0.19999999999999996,0.23431754389708656
0,5,0.10377358490566038,0.345406310278864,0.17000000000000004,0.20639329839484147
0,6,0.18823529411764706,0.5558060499745185,0.32999999999999996,0.3580137813640552
0,7,0.09473684210526316,0.32187803648095575,0.19999999999999996,0.20553829286207295
0,8,0.07874015748031496,0.36904124372660874,0.17000000000000004,0.20592713373564123
0,9,0.06299212598425197,0.3777947473347832,0.08999999999999997,0.17692895777301168
1,2,0.07272727272727272,0.36542791032475386,0.13,0.1893850610173422
1,3,0.15454545454545454,0.626247832591758,0.33999999999999997,0.3735977623790709
1,4,0.0,0.21861324866828274,0.0,0.07287108288942758
1,5,0.1320754716981132,0.5536647812911633,0.29000000000000004,0.32524675099642547
1,6,0.08235294117647059,0.5030701852528949,0.21999999999999997,0.2684743754764552
1,7,0.2631578947368421,0.7558749821741834,0.51,0.5096776256370085
1,8,0.14545454545454545,0.5863555095977856,0.33999999999999997,0.35727001835077693
1,9,0.0,0.12163269409391796,0.0,0.04054423136463932
2,3,0.24875621890547264,0.7161393746446145,0.41000000000000003,0.45829853118336245
2,4,0.20149253731343283,0.65026914878381,0.38,0.410587228699081
2,5,0.19811320754716982,0.6140204141230767,0.31000000000000005,0.3740445405567489
2,6,0.36470588235294116,0.8999813589346686,0.5700000000000001,0.6115624137625366
2,7,0.021052631578947368,0.20933808127268444,0.07999999999999996,0.10346357095054393
2,8,0.31496062992125984,0.795420740101972,0.47,0.526793790007744
2,9,0.1038961038961039,0.43469107585592426,0.19999999999999996,0.24619572658400937
3,4,0.15671641791044777,0.676399987005998,0.29000000000000004,0.37437213497214855
3,5,0.10377358490566038,0.4305792368212529,0.20999999999999996,0.2481176072423044
3,6,0.21176470588235294,0.7701330005822116,0.49,0.49063256882152145
3,7,0.10526315789473684,0.5009370240977724,0.22999999999999998,0.2787333939975031
3,8,0.23622047244094488,0.8198162053749847,0.5,0.5186788926053099
3,9,0.025974025974025976,0.44596115957551075,0.21999999999999997,0.23064506184984557
4,5,0.05660377358490566,0.34347531560802347,0.10999999999999999,0.1700263630643097
4,6,0.15294117647058825,0.5250459193765439,0.29000000000000004,0.3226623652823774
4,7,0.12631578947368421,0.48781090984728903,0.25,0.2880422331069911
4,8,0.16535433070866143,0.4717365665376022,0.28,0.30569696574875455
4,9,0.11194029850746269,0.4992108298688186,0.19999999999999996,0.2703837094587604
5,6,0.15294117647058825,0.7456695696870262,0.44999999999999996,0.4495369153858715
5,7,0.1368421052631579,0.26887532873653125,0.19999999999999996,0.2019058113332297
5,8,0.08490566037735849,0.6557579315348286,0.31000000000000005,0.35022119730406237
5,9,0.2169811320754717,0.5912686784749767,0.31999999999999995,0.3760832701834828
6,7,0.08235294117647059,0.30879066761631924,0.13684210526315788,0.17599523801864922
6,8,0.23529411764705882,0.9511968339535959,0.53,0.5721636505335516
6,9,0.15294117647058825,0.5674751176203018,0.30000000000000004,0.34013876469696336
7,8,0.10526315789473684,0.3775388322780132,0.24,0.24093399672425
7,9,0.0,0.0992108300043761,0.040000000000000036,0.046403610001458706
8,9,0.12598425196850394,0.5398723188666182,0.24,0.30195219027837406
