seed1,seed2,exact_match_ratio,frequency_similarity,edit_similarity,overall_similarity
629,845,0.16783216783216784,0.4096250011217062,0.27,0.28248572298462465
307,794,0.504,0.5029314804141176,0.5,0.5023104934713726
490,915,0.14655172413793102,0.4352002572506348,0.20999999999999996,0.26391732712952193
333,968,0.1320754716981132,0.4411886594556804,0.21999999999999997,0.2644213770512645
677,778,0.027972027972027972,0.18214314754989278,0.040000000000000036,0.08337172517397358
350,383,0.32510288065843623,0.8081606888597734,0.39,0.5077545231727365
489,727,0.05303030303030303,0.23199880273615037,0.06000000000000005,0.11500970192215115
167,676,0.0,0.40846942369716255,0.18999999999999995,0.19948980789905416
533,733,0.03759398496240601,0.18394180184548975,0.040000000000000036,0.08717859560263193
348,687,0.10256410256410256,0.5896299324914601,0.25,0.3140646783518542
512,795,0.0,0.16136511730807754,0.0,0.05378837243602585
283,972,0.23636363636363636,0.8613096777442812,0.5,0.5325577713693058
649,800,0.07051282051282051,0.24649662822618865,0.10999999999999999,0.14233648291300305
514,612,0.07547169811320754,0.41135661550655667,0.26,0.24894277120658806
557,982,0.0,0.5,0.49,0.33
610,845,0.20279720279720279,0.47290019345638457,0.39,0.35523246541786246
7,286,0.0,0.0,0.0,0.0
688,913,0.1271186440677966,0.7067391287489312,0.24,0.35795259093890924
655,736,0.49107142857142855,0.5504818825631803,0.49,0.510517770378203
489,969,0.16296296296296298,0.4110963466575568,0.18000000000000005,0.25135310320683996
8,107,0.007751937984496124,0.048877009118595924,0.010000000000000009,0.02220964903436402
610,966,0.0,0.07390632770857032,0.0,0.02463544256952344
252,467,0.1717171717171717,0.6013651570598265,0.30000000000000004,0.3576941095923328
25,47,0.04854368932038835,0.30509710192500733,0.13,0.16121359708179855
16,456,0.1694915254237288,0.38983189365947574,0.24,0.26644113969440153
293,993,0.0,0.0,0.0,0.0
80,885,0.0,0.10819435487432824,0.010000000000000009,0.03939811829144275
23,351,0.0,0.0,0.0,0.0
33,810,0.043795620437956206,0.21070717366318634,0.07999999999999996,0.11150093136704749
514,854,0.0,0.046304236661039756,0.0,0.01543474555367992
127,179,0.2,0.4428925898610702,0.30000000000000004,0.3142975299536901
299,700,0.30434782608695654,0.8610292104692532,0.53,0.5651256788520699
114,654,0.19327731092436976,0.5822064943459911,0.33999999999999997,0.3718279350901203
293,885,0.21008403361344538,0.4945333960991891,0.33999999999999997,0.3482058099042115
58,988,0.06716417910447761,0.34766115534370434,0.18000000000000005,0.19827511148272733
78,408,0.1694915254237288,0.42155111849211796,0.22999999999999998,0.27368088130528223
331,588,0.21428571428571427,0.6850253887663583,0.37,0.42310370101735756
553,701,0.0,0.0579360197876973,0.0,0.0193120065958991
55,424,0.018691588785046728,0.2150742045991451,0.030000000000000027,0.08792193112806396
269,878,0.018018018018018018,0.1802140152183339,0.020000000000000018,0.07274401107878399
389,980,0.4915254237288136,0.6051105233187589,0.49,0.5288786490158575
155,813,0.10476190476190476,0.57821769424081,0.22999999999999998,0.3043265330009049
475,983,0.0,0.06258327785172862,0.0,0.020861092617242876
351,459,0.22727272727272727,0.6340085144825995,0.4,0.4204270805851089
442,577,0.0794979079497908,0.22815398525271455,0.010000000000000009,0.10588396440083513
759,927,0.0,0.0,0.0,0.0
354,878,0.02830188679245283,0.29475895240256,0.06000000000000005,0.12768694639833764
117,642,0.5,0.5013071917732282,0.481675392670157,0.494327528147795
236,593,0.19298245614035087,0.6641673024506378,0.44999999999999996,0.4357165861969962
898,978,0.1925925925925926,0.6636843495346494,0.45999999999999996,0.43875898070908065
494,888,0.016,0.1888365850213895,0.030000000000000027,0.07827886167379651
400,472,0.18867924528301888,0.672048007126466,0.27,0.376909084136495
551,870,0.22321428571428573,0.42045893293604103,0.26,0.3012244062167756
129,881,0.14893617021276595,0.549595015643179,0.31999999999999995,0.33951039528531496
179,180,0.15873015873015872,0.5349872649729502,0.24,0.31123914123436963
461,832,0.24778761061946902,0.8288940917688348,0.49,0.5222272341294346
576,819,0.29914529914529914,0.7404500692286242,0.55,0.5298651227913078
543,871,0.21428571428571427,0.6098703749182061,0.32999999999999996,0.38471869640130674
